Comarca,Código Comarca,Concello,Código Concello,Parroquia,Código Parroquia
O Ribeiro,32,A Arnoia,32003,A Arnoia (San Salvador),3200301
O Ribeiro,32,Avión,32004,Abelenda (Santa Mariña),3200401
O Ribeiro,32,Avión,32004,Amiudal (Santiago),3200402
O Ribeiro,32,Avión,32004,Avión (Santos Xusto e Pastor),3200403
O Ribeiro,32,Avión,32004,Baíste (Santa María),3200404
O Ribeiro,32,Avión,32004,Barroso (Santa Baia),3200405
O Ribeiro,32,Avión,32004,Córcores (Santa Mariña),3200406
O Ribeiro,32,Avión,32004,Cortegazas (Santo Antonio),3200407
O Ribeiro,32,Avión,32004,Couso (Santa María),3200408
O Ribeiro,32,Avión,32004,Nieva (Santa María),3200409
O Ribeiro,32,Beade,32010,Beade (Santa María),3201001
O Ribeiro,32,Beade,32010,As Regadas (San Amaro),3201002
O Ribeiro,32,Carballeda de Avia,32018,Abelenda das Penas (Santo André),3201801
O Ribeiro,32,Carballeda de Avia,32018,Balde (San Martiño),3201802
O Ribeiro,32,Carballeda de Avia,32018,Beiro (San Pedro),3201803
O Ribeiro,32,Carballeda de Avia,32018,Carballeda (San Miguel),3201804
O Ribeiro,32,Carballeda de Avia,32018,Faramontaos (San Cosmede),3201805
O Ribeiro,32,Carballeda de Avia,32018,Muimenta (San Xiao),3201806
O Ribeiro,32,Carballeda de Avia,32018,Santo Estevo de Nóvoa (Santo Estevo),3201807
O Ribeiro,32,Carballeda de Avia,32018,Vilar de Condes (Santa María),3201808
O Ribeiro,32,Castrelo de Miño,32022,Astariz (Santa María),3202201
O Ribeiro,32,Castrelo de Miño,32022,Barral (Nosa Señora das Neves),3202202
O Ribeiro,32,Castrelo de Miño,32022,Castrelo de Miño (Santa María),3202203
O Ribeiro,32,Castrelo de Miño,32022,Macendo (Santa María),3202204
O Ribeiro,32,Castrelo de Miño,32022,Prado de Miño (Santa María),3202205
O Ribeiro,32,Castrelo de Miño,32022,Ponte Castrelo (Santo Estevo),3202206
O Ribeiro,32,Castrelo de Miño,32022,Vide de Miño (San Salvador),3202207
O Ribeiro,32,Cenlle,32025,Cenlle (Santa María),3202501
O Ribeiro,32,Cenlle,32025,Esposende (Santa Mariña),3202502
O Ribeiro,32,Cenlle,32025,Laias (Santa Baia),3202503
O Ribeiro,32,Cenlle,32025,Osmo (San Miguel),3202504
O Ribeiro,32,Cenlle,32025,A Pena (San Lourenzo),3202505
O Ribeiro,32,Cenlle,32025,Razamonde (Santa María),3202506
O Ribeiro,32,Cenlle,32025,Sadurnín (San Xoán),3202507
O Ribeiro,32,Cenlle,32025,Trasariz (Santiago),3202508
O Ribeiro,32,Cenlle,32025,Vilar de Rei (San Miguel),3202509
O Ribeiro,32,Cenlle,32025,A Barca de Barbantes (Santo Antonio),3202510
O Ribeiro,32,Cortegada,32027,Valongo (San Martiño),3202701
O Ribeiro,32,Cortegada,32027,Cortegada (Santa María),3202702
O Ribeiro,32,Cortegada,32027,Louredo (San Xoán),3202703
O Ribeiro,32,Cortegada,32027,Meréns (San Cibrán),3202704
O Ribeiro,32,Cortegada,32027,Rabiño (San Bieito),3202705
O Ribeiro,32,Cortegada,32027,Refoxos (San Breixo),3202706
O Ribeiro,32,Cortegada,32027,Zaparín (San Martiño),3202707
O Ribeiro,32,Leiro,32040,Berán (San Breixo),3204001
O Ribeiro,32,Leiro,32040,Gomariz (Santa María),3204002
O Ribeiro,32,Leiro,32040,Lamas (Santa María),3204003
O Ribeiro,32,Leiro,32040,Lebosende (San Miguel),3204004
O Ribeiro,32,Leiro,32040,Leiro (San Pedro),3204005
O Ribeiro,32,Leiro,32040,Orega (San Xoán),3204006
O Ribeiro,32,Leiro,32040,San Clodio (Santa María),3204007
O Ribeiro,32,Leiro,32040,Serantes (San Tomé),3204008
O Ribeiro,32,Leiro,32040,Bieite (Santo Adrao),3204009
O Ribeiro,32,Melón,32046,Melón (Santa María),3204601
O Ribeiro,32,Melón,32046,Quins (Santa María),3204602
O Ribeiro,32,Ribadavia,32069,Campo Redondo (Santo André),3206901
O Ribeiro,32,Ribadavia,32069,Esposende (Santiago),3206902
O Ribeiro,32,Ribadavia,32069,Ribadavia (San Domingos de Fóra),3206905
O Ribeiro,32,Ribadavia,32069,Ribadavia (San Domingos),3206906
O Ribeiro,32,Ribadavia,32069,Sanín (San Pedro),3206907
O Ribeiro,32,Ribadavia,32069,Ventosela (San Paio),3206908
O Ribeiro,32,Ribadavia,32069,Francelos (Santa María Madanela),3206909
O Ribeiro,32,Ribadavia,32069,San Cristovo de Regodeigón (San Cristovo),3206904
